fid	year	quarter	date_receipt	s40	code_period	code_present_place
11899	2015	1	2019-04-08	0	21	214
11899	2015	2	2019-04-08	0	22	214
11899	2015	3	2019-04-08	0	23	214
11899	2015	4	2019-04-08	0	24	214
149602	2017	2	2019-07-10	405610	22	214
82269	2017	2	2019-07-12	0	22	214
106026	2017	3	2019-07-12	117059	23	214
39704	2017	3	2019-07-11	65306	23	214
35149	2017	4	2019-07-10	12858067	24	214
193190	2017	4	2019-07-11	86637	24	214
10489	2017	4	2019-07-15	110277	24	214
152416	2017	4	2019-07-15	63577	24	214
180488	2017	4	2019-07-10	0	24	214
82269	2018	1	2019-07-12	0	21	214
185686	2018	1	2019-07-09	0	21	214
114900	2018	1	2019-07-09	5896908	21	214
106026	2018	1	2019-07-12	212444	21	214
152170	2018	1	2019-07-15	236054	21	214
73865	2018	2	2019-07-15	3396	22	214
185686	2018	2	2019-07-09	5308250	22	214
18974	2018	2	2019-07-12	0	22	214
37321	2018	3	2019-07-11	16733	23	214
106835	2018	3	2019-07-10	0	23	214
131942	2018	3	2019-07-10	15789373	23	214
82269	2018	3	2019-07-12	0	23	214
150988	2018	3	2019-07-11	177947	23	214
18974	2018	3	2019-07-12	0	23	214
161914	2018	3	2019-07-10	143202	23	214
143398	2018	3	2019-07-11	12173386	23	214
185686	2018	3	2019-07-09	12557789	23	214
106026	2018	3	2019-07-12	184643	23	214
23481	2018	3	2019-07-12	8848988	23	214
169629	2018	3	2019-07-09	1	23	214
57440	2018	3	2019-07-09	559327	23	214
166495	2018	3	2019-07-12	807878	23	214
89763	2018	4	2019-07-10	679961	24	214
104892	2018	4	2019-07-13	143	24	214
177428	2018	4	2019-07-09	197586	24	214
53340	2018	4	2019-07-09	14612885	24	214
12255	2018	4	2019-07-11	0	24	214
106026	2018	4	2019-07-12	127517	24	214
94764	2018	4	2019-07-10	0	24	214
67879	2018	4	2019-07-10	894280	24	214
82269	2018	4	2019-07-12	0	24	214
184978	2018	4	2019-07-12	49402	24	214
126676	2018	4	2019-07-15	2466813	24	214
8536	2019	1	2019-04-17	0	21	214
9805	2019	1	2019-04-10	0	21	214
19370	2019	1	2019-04-07	0	21	214
24450	2019	1	2019-04-04	0	21	214
26089	2019	1	2019-04-22	81083	21	214
